,manage_no,approval_date,business_state,detailed_state,phone_no,store_size,postal_code,address,road_address,road_addr_postal_code,name,updated_date,renewed_date,type,coords_X,coords_Y,longitude,latitude
84,3200000-102-2001-11187,20010915,영업/정상,영업,02 2366826,69.50,151809,서울특별시 관악구 봉천동 62-19번지 ,서울특별시 관악구 관악로 208-40 (봉천동),8737,초콜릿,2020-03-20 09:10:20,2020-03-22 02:40:00.0,룸살롱,195935.219212734,442326.286164915,126.95483121662532,37.4831197623113
85,3200000-102-1999-09225,19991222,영업/정상,영업,02 8891560,259.84,151890,서울특별시 관악구 신림동 1423-4번지 ,서울특별시 관악구 봉천로12길 49 (신림동),8754,궁전(미남클럽),2019-11-20 13:31:29,2019-11-22 02:40:00.0,룸살롱,193755.14368469,442698.285576063,126.93017939935346,37.4864591691338
86,3200000-102-1999-09211,19991223,영업/정상,영업,02 5980312,169.84,151800,서울특별시 관악구 남현동 1060-4번지 지하1층 ,"서울특별시 관악구 남부순환로 2082-29, 지하1층 (남현동)",8806,7080놀이터,2019-08-14 17:03:29,2019-08-16 02:40:00.0,룸살롱,198215.79929384,441548.607171275,126.98061814799038,37.47612023383201
87,3200000-102-1999-07820,19991223,영업/정상,영업,02 8878151,144.64,151891,서울특별시 관악구 신림동 1425-8번지 ,서울특별시 관악구 봉천로12길 42 (신림동),8753,탈렌트,2018-12-17 10:56:31,2018-12-19 02:40:00.0,룸살롱,193717.876773648,442733.564216119,126.92975772505348,37.48677677459576
88,3200000-102-1999-07747,19991223,영업/정상,영업,,80.45,151892,서울특별시 관악구 신림동 1431-7번지 ,"서울특별시 관악구 신림로 365, 지하1층 (신림동)",8760,올리브,2018-11-28 11:35:44,2018-11-30 02:40:00.0,룸살롱,193637.451330276,442741.110638087,126.92884829928036,37.4868442120908
89,3200000-102-1999-10046,19991230,영업/정상,영업,02 8666881,67.38,151876,서울특별시 관악구 신림동 538-1번지 ,서울특별시 관악구 난곡로 317 (신림동),8767,금보노래바,2018-10-05 12:11:30,2018-10-07 02:36:58.0,카바레,192344.104165473,442239.730505715,126.91422983865772,37.48231687731554
90,3200000-102-2013-00005,20130828,영업/정상,영업,,55.32,151930,서울특별시 관악구 신림동 1639-21번지 ,"서울특별시 관악구 남부순환로 1594-6, 3층 (신림동)",8776,플로우뮤직,2013-08-28 13:35:23,2018-08-31 23:59:59.0,룸살롱,193562.320470182,442380.789481681,126.92800198470516,37.48359719158049
91,3200000-102-2013-00006,20131122,영업/정상,영업,02  888 4288,79.79,151892,서울특별시 관악구 신림동 1433-32 ,"서울특별시 관악구 남부순환로 1599-4, 지하1층 (신림동)",8759,스카이,2022-03-21 11:29:36,2022-03-23 02:40:00.0,룸살롱,193600.137347389,442484.563820437,126.92842864629378,37.48453246421062
92,3200000-102-2013-00007,20131127,영업/정상,영업,,59.63,151890,서울특별시 관악구 신림동 1424-5번지 ,"서울특별시 관악구 봉천로12길 54, 2층 (신림동)",8754,봉봉노래바,2015-07-24 16:29:06,2018-08-31 23:59:59.0,기타,193736.372635003,442685.971378868,126.92996726426254,37.48634808985503
93,3200000-102-2014-00008,20140814,영업/정상,영업,02  878 0950,99.21,151890,서울특별시 관악구 신림동 1424-11,"서울특별시 관악구 신림로 356, 3층 (신림동)",8754,잠자리,2022-06-13 11:33:49,2021-12-05 23:06:00.0,스텐드바,193715.720946633,442661.600592493,126.92973396974836,37.48612836737644
94,3200000-102-2014-00004,20140414,영업/정상,영업,02  883 2468,76.43,151892,서울특별시 관악구 신림동 1433-102 ,"서울특별시 관악구 남부순환로 1591, 지하1층 (신림동)",8759,캔디노래빠,2021-04-07 17:34:37,2021-04-09 02:40:00.0,룸살롱,193506.453613619,442451.538877664,126.92736970238664,37.48423424935909
95,3200000-102-2001-07814,20010907,영업/정상,영업,02 8761670,79.04,151811,서울특별시 관악구 봉천동 859-34,서울특별시 관악구 봉천로 473 (봉천동),8745,카톡노래바,2022-12-08 11:14:56,2021-11-01 23:00:00.0,룸살롱,195756.639383407,442242.841002512,126.95281262344876,37.4823671054091
96,3200000-102-2015-00004,20151130,영업/정상,영업,,94.98,151848,서울특별시 관악구 봉천동 854-2번지 ,"서울특별시 관악구 남부순환로224길 13, 지하1층 (봉천동)",8788,딸기,2018-01-30 15:21:52,2018-08-31 23:59:59.0,룸살롱,195807.163259246,442004.31519752,126.95338523539732,37.48021821859973
97,3200000-102-2016-00001,20160222,영업/정상,영업,02  871 4001,55.00,151892,서울특별시 관악구 신림동 1432-86번지 ,"서울특별시 관악구 신림로65길 10, 지하1층 (신림동)",8760,여자친구노래빠,2016-12-27 15:38:53,2018-08-31 23:59:59.0,룸살롱,193643.063057974,442562.62693704,126.92891330656396,37.48523611246116
98,3200000-102-2002-00015,20021024,영업/정상,영업,02 877 1320,81.54,151809,서울특별시 관악구 봉천동 62-3번지 지하 1층 ,"서울특별시 관악구 관악로 206 (봉천동,지하 1층)",8737,도레미노래뱅크,2013-03-26 15:49:31,2018-08-31 23:59:59.0,룸살롱,195907.768174812,442331.416801412,126.95452081737692,37.48316586636867
99,3200000-102-2002-00016,20021112,영업/정상,영업,02882 4141,73.77,151834,서울특별시 관악구 봉천동 852-6번지 지하1층 ,"서울특별시 관악구 남부순환로 1829-6 (봉천동,지하1층)",8738,피플노래빠,2020-04-20 16:47:56,2020-04-22 02:40:00.0,룸살롱,195839.442890886,442127.718823297,126.95374947749283,37.48133023521239
100,3200000-102-2003-00001,20030214,영업/정상,영업,,62.20,151892,서울특별시 관악구 신림동 1433-36 ,"서울특별시 관악구 신림로63길 9, 지하1층 (신림동)",8759,샴푸,2020-08-10 13:28:45,2020-08-12 02:40:00.0,룸살롱,193649.313171487,442481.007638064,126.92898468521074,37.4845007656068
101,3200000-102-2001-11102,20010802,영업/정상,영업,02  871 7079,93.33,151930,서울특별시 관악구 신림동 1639-64 ,"서울특별시 관악구 신림로59길 28, 지하1층 (신림동)",8776,럭키노래빠,2020-09-17 09:36:55,2020-09-19 02:40:00.0,룸살롱,193580.475491394,442312.058675075,126.92820785744672,37.482978054076085
102,3200000-102-2002-00014,2002-10-23,영업/정상,영업,02 8829771,121.28,151-810,서울특별시 관악구 봉천동 33-3 지하1층,"서울특별시 관악구 관악로 222 (봉천동,지하1층)",8737,이브룸,2023-03-15 16:39:56,2022-12-02 23:07:00.0,룸살롱,195999.282149107,442463.795943253,126.9555547739724,37.48435901084554
103,3200000-102-2011-00001,20110308,영업/정상,영업,02 8760511,60.36,151892,서울특별시 관악구 신림동 1431-7번지 ,"서울특별시 관악구 신림로 365, 지하1층 (신림동)",8760,신세계,2018-11-28 11:49:09,2018-11-30 02:40:00.0,룸살롱,193637.451330276,442741.110638087,126.92884829928036,37.4868442120908
104,3200000-102-2000-10148,20000226,영업/정상,영업,02,67.50,151800,서울특별시 관악구 남현동 1061-12번지 ,서울특별시 관악구 남현1길 68-14 (남현동),8807,룸쌕쌕클럽,2019-06-04 17:00:37,2019-06-06 02:40:00.0,룸살롱,198262.406512171,441440.427426397,126.98114531978476,37.47514562357636
105,3200000-102-2000-10155,20000302,영업/정상,영업,02 8780119,93.61,151930,서울특별시 관악구 신림동 1639-1번지 ,서울특별시 관악구 남부순환로 1588 (신림동),8776,딸기,2020-03-06 16:20:08,2020-03-08 02:40:00.0,룸살롱,193480.726441546,442387.810878579,126.92707938812124,37.48365987683693
106,3200000-102-2000-10212,20000324,영업/정상,영업,02 8397474,105.89,151894,서울특별시 관악구 신림동 1474-18번지 ,서울특별시 관악구 남부순환로 1472 (신림동),8771,골든벨노래바,2018-10-04 09:12:07,2018-10-06 02:37:13.0,카바레,192325.620269134,442139.072741095,126.9140219136217,37.48140979570446
107,3200000-102-2008-00011,20000418,영업/정상,영업,02  838 1742,66.51,151904,서울특별시 관악구 신림동 1669-11 지하1층 ,"서울특별시 관악구 조원중앙로 6 (신림동,지하1층)",8765,열린노래밤,2020-10-16 10:03:12,2020-10-18 02:40:00.0,룸살롱,191494.104541209,442029.171025043,126.90462203079151,37.48041224544931
108,3200000-102-2000-10226,20000331,영업/정상,영업,02 5221082,81.90,151800,서울특별시 관악구 남현동 1061-11 가호,"서울특별시 관악구 남현1길 68-14 (남현동,가호)",8807,노래하는탑스타,2022-06-08 15:23:30,2021-12-05 23:00:00.0,룸살롱,198260.790961903,441450.197751697,126.98112703187472,37.47523365131369
109,3200000-102-1999-09234,19991218,영업/정상,영업,02 8761037,94.73,151892,서울특별시 관악구 신림동 1431-3,서울특별시 관악구 신림로 369 (신림동),8760,천사노래밤,2022-12-13 13:23:44,2021-11-01 23:05:00.0,룸살롱,193620.638417218,442783.198406659,126.92865782945957,37.48722330586472
110,3200000-102-2000-10363,20000616,영업/정상,영업,02 8755038,89.81,151875,서울특별시 관악구 신림동 527-7번지 ,서울특별시 관악구 난곡로66길 6 (신림동),8761,서울노래바,2020-03-06 16:00:37,2020-03-08 02:40:00.0,카바레,192395.25821024,442251.340878209,126.91480807525676,37.48242191265888
111,3200000-102-2000-10305,20000516,영업/정상,영업,02 877 9195,69.30,151890,서울특별시 관악구 신림동 1422-42,서울특별시 관악구 남부순환로 1615 (신림동),8754,주색 노래빠,2023-01-06 10:45:33,2022-12-01 00:08:00.0,룸살롱,193748.030800777,442485.610696251,126.9301007991528,37.48454291907172
112,3200000-102-2001-07834,20010417,영업/정상,영업,,86.36,151891,서울특별시 관악구 신림동 1430-5번지 ,서울특별시 관악구 신림로 381 (신림동),8707,논개,2019-09-19 16:58:01,2019-09-21 02:40:00.0,룸살롱,193583.55649352,442888.304004151,126.92823762157307,37.48817004801472
113,3200000-102-2001-07796,20010420,영업/정상,영업,02  797 6121,105.53,151849,서울특별시 관악구 봉천동 1673-16번지 ,서울특별시 관악구 남부순환로 1869 (봉천동),8739,탑노래빠,2019-04-17 14:26:15,2019-04-19 02:40:00.0,룸살롱,196172.424814579,441954.770221655,126.9575151026068,37.47977342749191
114,3200000-102-2021-00001,20210115,영업/정상,영업,,76.82,151930,서울특별시 관악구 신림동 1639-1 신림빌딩 ,"서울특별시 관악구 남부순환로 1588, 신림빌딩 3층 302호 (신림동)",8776,체리노래빠,2021-01-15 11:49:37,2021-01-17 00:23:04.0,룸살롱,193480.726441546,442387.810878579,126.92707938812124,37.48365987683693
115,3200000-102-1999-09268,19991209,영업/정상,영업,02 8675534,143.67,151875,서울특별시 관악구 신림동 527-9번지 ,서울특별시 관악구 남부순환로 1481 (신림동),8761,킹노래빠,2018-04-05 16:27:01,2018-08-31 23:59:59.0,룸살롱,192421.599066003,442233.785068248,126.91510607260987,37.48226395288501
116,3200000-102-2000-10070,20000114,영업/정상,영업,,65.00,151800,서울특별시 관악구 남현동 1061-16번지 ,"서울특별시 관악구 남현1길 68-22, 지하1층 (남현동)",8807,봉봉,2019-11-08 17:13:32,2019-11-10 02:40:00.0,룸살롱,198268.135159088,441400.753885038,126.98121017955673,37.47478817506094
117,3200000-102-2000-10106,20000203,영업/정상,영업,,73.08,151892,서울특별시 관악구 신림동 1432-77,서울특별시 관악구 신림로 355 (신림동),8760,자몽노래크럽,2022-07-04 13:24:26,2021-12-07 00:06:00.0,룸살롱,193668.136887283,442651.560541445,126.92919603488576,37.4860375784024
118,3200000-102-2000-10083,20000118,영업/정상,영업,02 8776234,95.79,151892,서울특별시 관악구 신림동 1432-176 ,서울특별시 관악구 신림동길 7 (신림동),8760,삼바,2021-10-29 15:03:47,2021-10-31 02:40:00.0,룸살롱,193559.679825534,442789.130076595,126.92796852219638,37.48727632318311
