district,info,latitude,longitude,count,update_date,update_year,update_month,lamp_addr,depth1,depth2,main_addr_no,sub_addr_no,latitude,longitude,address
관악구,A3013 1-1RZ 청룡산공원 휴게테크(청룡동 산 175-27),37.4752,126.9516,1,1,2022.0,12.0,,서울,관악구,175,27,,,서울 관악구 봉천동 산 175-27
관악구,A3014 1-1RZ 청룡산공원 운동공간(청룡산 산 175-27),37.4754,126.9511,1,1,2022.0,12.0,,서울,관악구,390,3,,,서울 관악구 봉천동 390-3
관악구,A3015 1-1RZ 까치산근린공원 경로당 및 놀이터앞(행운동 산 66-3),37.4765,126.9696,1,1,2022.0,12.0,,서울,관악구,66,3,,,서울 관악구 봉천동 산 66-3
관악구,A3016 1-1RZ 까치산근린공원 화장실앞(행운동 산 66-3),37.4765,126.9701,1,1,2022.0,12.0,,서울,관악구,66,3,,,서울 관악구 봉천동 산 66-3
관악구,A3018 1-1R 관악산공원 주차장(대학동 210),37.4683,126.9452,1,1,2022.0,12.0,,서울,관악구,210,,,,서울 관악구 신림동 210
관악구,A3017 1-1RZ 예촌어린이공원(남현동 1083-1),37.4746,126.9766,1,1,2022.0,12.0,,서울,관악구,1083,1,,,서울 관악구 남현동 1083-1
관악구,A9001 1-1RZ 상도근린공원 (은천동 산103-61와 국사봉체육관),37.4916,126.9412,1,1,2022.0,12.0,,서울,관악구,103,61,,,서울 관악구 봉천동 산 103-61
관악구,A9002 1-1RZ 상도근린공원 (은천동 산103-61와 국사봉체육관),37.4913,126.9411,1,1,2022.0,12.0,,서울,관악구,103,61,,,서울 관악구 봉천동 산 103-61
관악구,A9003 1-1RZ 국회단지공원 (은천동 635-37와 635-80),37.4903,126.9429,1,1,2022.0,12.0,,서울,관악구,635,37,,,서울 관악구 봉천동 635-37
관악구,A9004 1-1RZ 국회단지공원 (은천동 635-37와 635-80),37.4902,126.9433,1,1,2022.0,12.0,,서울,관악구,635,37,,,서울 관악구 봉천동 635-37
관악구,A9005 1-1R 새숲공원 (조원동 539-14와 538-39),37.4823,126.9133,1,1,2022.0,12.0,,서울,관악구,527,20,,,서울 관악구 신림동 527-20
관악구,A9006 1-1RZ 새숲공원 (조원동 539-14와 539-13),37.4825,126.913,1,1,2022.0,12.0,,서울,관악구,539,14,,,서울 관악구 신림동 539-14
관악구,A9009 1-1RZ 미도공원 (난향동 675-200와 675-211),37.4627,126.9154,1,1,2022.0,12.0,,서울,관악구,675,200,,,서울 관악구 신림동 675-200
관악구,A3009 1-1RZ 상도근린공원 맷돌체육회 (은천동 산 103-3),37.492,126.9403,1,1,2022.0,12.0,,서울,관악구,103,3,,,서울 관악구 봉천동 산 103-3
관악구,A9007 1-1RZ 약수어린이공원 (미성동 1685와 1686),37.4731,126.9124,1,1,2022.0,12.0,,서울,관악구,1685,,,,서울 관악구 신림동 1685
관악구,A9010 1-1RZ 호박골공원 (신원동 1580-22와 1580-25),37.4819,126.9241,1,1,2022.0,12.0,,서울,관악구,1642,21,,,서울 관악구 신림동 1642-21
관악구,A9008 1-1R 미도공원 (난향동 675-200와 675-199),37.463,126.9152,1,1,2022.0,12.0,,서울,관악구,675,200,,,서울 관악구 신림동 675-200
