,count,addr,dist,long,lat,type
83,84,서울특별시 관악구 양지17길 8,0.44,126.9307197,37.46910187,bell
84,85,서울특별시 관악구 서림3길 35,0.52,126.9402862,37.47262509,bell
85,86,서울특별시 관악구 신림로23길 82,0.28,126.9342957,37.467413,bell
86,87,서울특별시 관악구 참숯길 13,0.66,126.9430525,37.46887788,bell
87,88,서울특별시 관악구 서원길 35,0.79,126.9324809,37.47631222,bell
88,89.0,,0.75,126.9337484,37.46319264,bell
89,90,서울특별시 관악구 호암로20길 35 (사우촌어린이공원),0.28,126.9342243,37.46749117,bell
90,91,서울특별시 관악구 호암로20길 84 (미림어린이공원),0.36,126.9353036,37.4664775,bell
91,92,서울특별시 관악구 문성로38길 25,0.95,126.9289281,37.47640721,bell
92,93,서울특별시 관악구 서원10길15,0.82,126.9314504,37.4762469,bell
93,94,서울특별시 관악구 서원7길21,0.74,126.9335463,37.47614171,bell
94,95,서울특별시 관악구 문성로38나길 16,0.9,126.9293189,37.47609938,bell
95,96,서울특별시 관악구 신림로26길 11,0.39,126.9341507,37.47298951,bell
96,97,서울특별시 관악구 복은4길 42,0.39,126.9377403,37.47284696,bell
97,98,서울특별시 관악구 호암로26길 57,0.11,126.9367153,37.47030076,bell
98,99,서울특별시 관악구 신림로21길 78,0.33,126.9347367,37.46682426,bell
99,100,서울특별시 관악구 호암로18다길 3 (산책로 입구),0.53,126.9337287,37.46522236,bell
100,101.0,,0.73,126.9333903,37.46345765,bell
101,102.0,,0.89,126.9387491,37.46209445,bell
102,103,서울특별시 관악구 난곡로26길 118 (배수지공원 앞 다리),0.92,126.9254955,37.46794608,bell
103,104,서울특별시 관악구 양지길 63 (원신마을마당),0.56,126.9293247,37.46983423,bell
104,105.0,,0.95,126.9409799,37.47715261,bell
105,106.0,,0.96,126.9413958,37.47708129,bell
106,107,서울특별시 관악구 양지12길 5,0.6,126.9289616,37.46893255,bell
107,108,서울특별시 관악구 신림로44길 24,0.98,126.9351641,37.4785555,bell
108,109,서울특별시 관악구 대학21길 9,0.51,126.9383986,37.46569529,bell
109,110,서울특별시 관악구 신림로11길 131,0.66,126.9398709,37.46480204,bell
110,111,서울특별시 관악구 신림로11길 82,0.42,126.9387097,37.4668267,bell
111,112,서울특별시 관악구 대학7길 43,0.41,126.9400508,37.46853617,bell
112,113.0,,0.58,126.9307058,37.46627057,bell
113,114,서울특별시 관악구 신림로28길 59,0.28,126.9367369,37.47207027,bell
114,115,서울특별시 관악구 복은길 60,0.62,126.9391541,37.47460297,bell
115,116,서울특별시 관악구 복은7길 1,0.69,126.9402412,37.47474846,bell
116,117,서울특별시 관악구 복은길 129,0.89,126.9430545,37.47512445,bell
117,118,서울특별시 관악구 밤골길 19,0.91,126.9306214,37.46262094,bell
118,119,"서울특별시 관악구 신림로 210, 은성온누리약국 부근",0.72,126.9373497,37.47607086,bell
119,120,서울특별시 관악구 호암로22길 11,0.23,126.933227,37.46902206,bell
120,121,서울특별시 관악구 대학6길 25,0.1,126.9364228,37.46905946,bell
121,122,서울특별시 관악구 신림로 67,0.51,126.9414749,37.46995749,bell
122,123,서울특별시 관악구 신림로3가길 46,0.57,126.9420767,37.46889528,bell
123,124,서울특별시 관악구 대학10길 3-3,0.3,126.9376382,37.46753497,bell
124,125,서울특별시 관악구 호암로18나길 27,0.65,126.9328562,37.46429343,bell
125,126,서울특별시 관악구 대학14길 70,0.5,126.9350204,37.46524859,bell
126,127,서울특별시 관악구 대학길 125,0.55,126.9382969,37.46524516,bell
127,128,서울특별시 관악구 양지길 35,0.51,126.9302342,37.47131029,bell
128,129,서울특별시 관악구 양지길 91,0.44,126.9307054,37.4693401,bell
129,130,서울특별시 관악구 신림로29길 3-30,0.53,126.9334793,37.4741242,bell
130,131,서울특별시 관악구 복은2길 50,0.49,126.9387282,37.47342109,bell
131,132,서울특별시 관악구 서림3길 67,0.55,126.9414333,37.47157863,bell
132,133,서울특별시 관악구 복은8길 41,0.74,126.9422606,37.47383236,bell
133,134,서울특별시 관악구 쑥고개로2가길 6,0.89,126.9388219,37.47730215,bell
134,135,서울특별시 관악구 서원3길 20,0.81,126.9337842,37.47689355,bell
135,136,서울특별시 관악구 서림길 40(동작하이퍼마켓 맞은편),0.57,126.9382182,37.47447202,bell
136,137,서울특별시 관악구 신림로28길 81(신성초 부근),0.31,126.9379657,37.47187468,bell
137,138,서울특별시 관악구 신림로18길 17(신성초 부근),0.23,126.9363487,37.47172852,bell
138,139,서울특별시 관악구 호암로 498,0.79,126.9317162,37.46334496,bell
139,140,서울특별시 관악구 신림로44나길 27,0.94,126.9360057,37.47816311,bell
140,141,서울특별시 관악구 신림로44가길 21,0.92,126.935413,37.47795868,bell
141,142,서울특별시 관악구 양지5길 25,0.6,126.9299614,37.47256491,bell
142,143,서울특별시 관악구 원신길 121,0.5,126.9308405,37.46743515,bell
143,144,서울특별시 관악구 신림로18가길 9,0.23,126.935704,37.47177607,bell
144,145,서울특별시 관악구 신림로28길 46,0.25,126.9359064,37.47198574,bell
145,146,서울특별시 관악구 대학14길 23,0.36,126.9362983,37.46652936,bell
146,147,서울특별시 관악구 양지길 63(원신공영주차장),0.57,126.9291751,37.46992438,bell
147,148,서울특별시 관악구 은천로152,0.89,126.9432024,37.47505664,bell
148,149,서울특별시 관악구 신림로85,0.37,126.9397725,37.47044553,bell
149,150,서울특별시 관악구 서림1길 36,0.72,126.9398316,37.47534913,bell
150,151,서울특별시 관악구 양지8길 42,0.55,126.9294874,37.46947982,bell
151,152,서울특별시 관악구 난곡로26길 135,0.93,126.9253067,37.46808742,bell
152,153,"서울특별시 관악구 호암로26길 21, 관악청소년회관 부근",0.11,126.934967,37.47050397,bell
153,154,"서울특별시 관악구 대학7길 52, 삼성초교 부근",0.46,126.9407699,37.46867898,bell
154,155,"서울특별시 관악구 신림로 114, 신성초교 부근",0.19,126.9369542,37.47110198,bell
155,156,"서울특별시 관악구 호암로 494, 신우초교 부근",0.95,126.9319547,37.46175255,bell
156,157,"서울특별시 관악구 광신길 177, 원신초교 부근",0.84,126.9272022,37.46637285,bell
157,158,"서울특별시 관악구 광신1길 1, 신림주공아파트 부근",0.66,126.9291203,37.46685615,bell
158,159,서울특별시 관악구 쑥고개로3길 16,0.99,126.9385719,37.47830482,bell
159,160,서울특별시 관악구 신림로11길 48,0.31,126.9388039,37.46842541,bell
160,161,서울특별시 관악구 대학14길 6,0.44,126.9375573,37.46604026,bell
161,162,서울특별시 관악구 대학12길 37,0.46,126.9366333,37.46563971,bell
162,163,서울특별시 관악구 양산길 21,0.55,126.9320919,37.47378241,bell
163,164,서울특별시 관악구 호암로20길 13,0.36,126.9325107,37.46766502,bell
164,165,서울특별시 관악구 원신길 139,0.57,126.9302687,37.46689773,bell
165,166,서울특별시 관악구 양지13길 30,0.56,126.9296974,37.4679445,bell
166,167,"서울특별시 관악구 원신3길 4, 화장실 부근",0.37,126.931576,37.46928876,bell
167,168,서울특별시 관악구 양지9길 1,0.58,126.9291841,37.47077467,bell
168,169,서울특별시 관악구 신림로31길 15,0.67,126.9353727,37.4757652,bell
169,170,서울특별시 관악구 복은길 85,0.73,126.9407955,37.4748331,bell
170,171,서울특별시 관악구 서림7길 39,0.64,126.9412749,37.47333139,bell
171,172,서울특별시 관악구 서림길 101,0.42,126.9395016,37.47190297,bell
172,173,서울특별시 관악구 신림로8길 32,0.35,126.9391082,37.47135583,bell
173,174,서울특별시 관악구 원신길 174,0.7,126.9300761,37.46526724,bell
174,175,서울특별시 관악구 대학10길 27,0.22,126.9356497,37.46773672,bell
175,176,서울특별시 관악구 신림로22길 29,0.32,126.9356051,37.47256876,bell
176,1,서울특별시 관악구  신림로 178 관악산지구대,0.46,126.935263149906,37.473859396558,police
177,1,서울 관악구 신림동 336-8,0.83,126.9265,37.4682,cctv
178,2,서울 관악구 신림동 336-8,0.88,126.9259,37.4683,cctv
179,3,서울 관악구 신림동 210,0.89,126.9456,37.4683,cctv
180,4,서울 관악구 신림동 395-71,0.51,126.9327,37.4737,cctv
181,5,서울 관악구 신림동 210,0.85,126.9452,37.4683,cctv
182,6,서울 관악구 신림동 1542-9,0.17,126.9366,37.4684,cctv
183,7,서울 관악구 신림동 94-251,0.99,126.939,37.4782,cctv
184,8,서울 관악구 신림동 255-258,0.63,126.9353,37.4641,cctv
185,9,서울 관악구 신림동 225-30,0.8,126.9447,37.4694,cctv
186,10,서울 관악구 신림동 217-7,0.76,126.9442,37.469,cctv
187,11,서울 관악구 신림동 산 24-9,0.43,126.94,37.468,cctv
188,12,서울 관악구 신림동 산 24-9,0.46,126.9404,37.4679,cctv
189,13,서울 관악구 신림동 321-5,0.98,126.9303,37.462,cctv
190,14,서울 관악구 신림동 산 68-3,0.75,126.9337,37.4632,cctv
191,15,서울 관악구 신림동 1555-1,0.28,126.9342,37.4675,cctv
192,16,서울 관악구 신림동 254-256,0.36,126.9353,37.4665,cctv
193,17,서울 관악구 신림동 210,0.89,126.9455,37.468,cctv
194,18,서울 관악구 신림동 98-395,0.88,126.9428,37.4753,cctv
195,19,서울 관악구 신림동 1716-1,0.63,126.9424,37.4679,cctv
196,20,서울 관악구 신림동 산 86-6,0.91,126.9276,37.4647,cctv
197,21,서울 관악구 신림동 산 86-6,0.94,126.9278,37.4641,cctv
198,22,서울 관악구 신림동 산 132-2,0.85,126.926,37.4694,cctv
199,23,서울 관악구 신림동 산 68-4,0.53,126.9337,37.4652,cctv
200,24,서울 관악구 신림동 산 68-2,0.72,126.9334,37.4635,cctv
201,25,서울 관악구 신림동 산 63-6,0.89,126.9388,37.4621,cctv
202,26,서울 관악구 신림동 336-8,0.92,126.9255,37.4679,cctv
203,27,서울 관악구 신림동 336-8,0.93,126.9254,37.468,cctv
204,28,서울 관악구 신림동 336-8,0.91,126.9256,37.4679,cctv
205,29,서울 관악구 신림동 366,0.56,126.9293,37.4698,cctv
206,30,서울 관악구 신림동 835-3,0.57,126.9292,37.4698,cctv
207,31,서울 관악구 신림동 366,0.55,126.9294,37.4699,cctv
208,32,서울 관악구 신림동 366,0.56,126.9293,37.4698,cctv
209,33,서울 관악구 봉천동 1734,0.95,126.941,37.4772,cctv
210,34,서울 관악구 봉천동 1734,0.96,126.9414,37.4771,cctv
211,35,서울 관악구 신림동 산 132-2,0.89,126.9256,37.4705,cctv
212,36,서울 관악구 신림동 산 132-2,0.89,126.9257,37.4707,cctv
213,37,서울 관악구 신림동 산 132-2,0.88,126.9257,37.4702,cctv
214,38,서울 관악구 신림동 산 149-52,0.58,126.9382,37.4745,cctv
215,39,서울 관악구 신림동 104-9,0.57,126.9381,37.4745,cctv
216,40,서울 관악구 신림동 823-2,0.58,126.9383,37.4745,cctv
217,41,서울 관악구 신림동 118-5,0.32,126.9381,37.4719,cctv
218,42,서울 관악구 신림동 118-5,0.32,126.938,37.4719,cctv
219,43,서울 관악구 신림동 118-7,0.3,126.9377,37.4719,cctv
220,44,서울 관악구 신림동 119-7,0.31,126.938,37.4718,cctv
221,45,서울 관악구 신림동 117-20,0.23,126.9363,37.4717,cctv
222,46,서울 관악구 신림동 117-20,0.22,126.9363,37.4716,cctv
223,47,서울 관악구 신림동 117-4,0.24,126.9364,37.4718,cctv
224,48,서울 관악구 신림동 117-21,0.22,126.9362,37.4717,cctv
225,49,서울 관악구 신림동 310-5,0.8,126.9317,37.4633,cctv
226,50,서울 관악구 신림동 300-6,0.54,126.9313,37.4663,cctv
227,51,서울 관악구 신림동 300-6,0.53,126.9313,37.4664,cctv
228,52,서울 관악구 신림동 300-8,0.56,126.9313,37.4661,cctv
229,53,서울 관악구 신림동 412-138,0.86,126.9292,37.4755,cctv
230,54,서울 관악구 신림동 412-138,0.85,126.9293,37.4755,cctv
231,55,서울 관악구 신림동 412-138,0.86,126.9292,37.4755,cctv
232,56,서울 관악구 신림동 244-182,0.38,126.9396,37.4684,cctv
233,57,서울 관악구 신림동 412-138,0.86,126.9292,37.4755,cctv
234,58,서울 관악구 신림동 244-152,0.37,126.9396,37.4685,cctv
235,59,서울 관악구 신림동 244-152,0.37,126.9396,37.4685,cctv
236,60,서울 관악구 신림동 244-31,0.38,126.9397,37.4685,cctv
237,61,서울 관악구 신림동 산 73-2,0.92,126.9318,37.462,cctv
238,62,서울 관악구 신림동 316-137,0.92,126.9319,37.462,cctv
239,63,서울 관악구 신림동 산 73-2,0.95,126.9318,37.4618,cctv
240,64,서울 관악구 신림동 316-137,0.91,126.9318,37.4621,cctv
241,65,서울 관악구 신림동 320-1,0.92,126.9317,37.4621,cctv
242,66,서울 관악구 신림동 326-1,0.95,126.9268,37.4649,cctv
243,67,서울 관악구 신림동 326-1,0.95,126.9268,37.4649,cctv
244,68,서울 관악구 신림동 1713-4,0.96,126.9267,37.4648,cctv
245,69,서울 관악구 신림동 336-8,0.85,126.9267,37.467,cctv
246,70,서울 관악구 신림동 244-155,0.4,126.94,37.4686,cctv
247,71,서울 관악구 신림동 244-17,0.4,126.94,37.4685,cctv
248,72,서울 관악구 신림동 244-17,0.4,126.94,37.4685,cctv
249,73,서울 관악구 신림동 244-17,0.41,126.9401,37.4685,cctv
250,74,서울 관악구 신림동 244-17,0.41,126.9401,37.4685,cctv
251,75,서울 관악구 신림동 301-4,0.58,126.9307,37.4663,cctv
252,76,서울 관악구 신림동 301-11,0.59,126.9306,37.4663,cctv
253,77,서울 관악구 신림동 300-7,0.57,126.9308,37.4663,cctv
254,78,서울 관악구 신림동 120-59,0.28,126.9367,37.4721,cctv
255,79,서울 관악구 신림동 120-59,0.28,126.9367,37.4721,cctv
256,80,서울 관악구 신림동 117-6,0.28,126.9368,37.4721,cctv
257,81,서울 관악구 신림동 117-6,0.28,126.9368,37.4721,cctv
258,82,서울 관악구 신림동 99-36,0.62,126.939,37.4746,cctv
259,83,서울 관악구 신림동 99-30,0.62,126.9392,37.4746,cctv
260,84,서울 관악구 신림동 99-4,0.61,126.939,37.4745,cctv
261,85,서울 관악구 신림동 98-8,0.63,126.9392,37.4747,cctv
262,86,서울 관악구 신림동 98-374,0.63,126.9393,37.4746,cctv
263,87,서울 관악구 신림동 98-227,0.68,126.9402,37.4747,cctv
264,88,서울 관악구 신림동 98-227,0.68,126.9401,37.4747,cctv
265,89,서울 관악구 신림동 산 1-19,0.7,126.9404,37.4748,cctv
266,90,서울 관악구 신림동 98-144,0.69,126.9402,37.4748,cctv
267,91,서울 관악구 신림동 1530-2,0.23,126.9332,37.469,cctv
268,92,서울 관악구 신림동 1530-2,0.24,126.9332,37.4689,cctv
269,93,서울 관악구 신림동 1530-2,0.24,126.9331,37.4691,cctv
270,94,서울 관악구 신림동 1530-2,0.22,126.9333,37.4691,cctv
271,95,서울 관악구 신림동 1530-2,0.22,126.9334,37.469,cctv
272,96,서울 관악구 신림동 1537-5,0.09,126.9365,37.4692,cctv
273,97,서울 관악구 신림동 1536-3,0.09,126.9364,37.4691,cctv
274,98,서울 관악구 신림동 1537-7,0.11,126.9366,37.469,cctv
275,99,서울 관악구 신림동 1540,0.11,126.9364,37.4689,cctv
276,100,서울 관악구 신림동 1536-3,0.09,126.9363,37.4691,cctv
277,101,서울 관악구 신림동 236-8,0.51,126.9415,37.47,cctv
278,102,서울 관악구 신림동 234-5,0.51,126.9415,37.4699,cctv
279,103,서울 관악구 신림동 236-10,0.52,126.9415,37.4701,cctv
280,104,서울 관악구 신림동 812-30,0.58,126.9421,37.4687,cctv
281,105,서울 관악구 신림동 231-1,0.57,126.9421,37.4689,cctv
282,106,서울 관악구 신림동 231-1,0.57,126.9421,37.469,cctv
283,107,서울 관악구 신림동 233-10,0.56,126.9419,37.4689,cctv
284,108,서울 관악구 신림동 818-70,0.3,126.9376,37.4675,cctv
285,109,서울 관악구 신림동 251-461,0.29,126.9376,37.4676,cctv
286,110,서울 관악구 신림동 818-70,0.3,126.9376,37.4675,cctv
287,111,서울 관악구 신림동 818-70,0.3,126.9376,37.4675,cctv
288,112,서울 관악구 신림동 산 68-1,0.65,126.9329,37.4643,cctv
289,113,서울 관악구 신림동 306-57,0.66,126.9329,37.4642,cctv
290,114,서울 관악구 신림동 산 68-1,0.66,126.9327,37.4643,cctv
291,115,서울 관악구 신림동 306-50,0.64,126.9328,37.4644,cctv
292,116,서울 관악구 신림동 산 68-1,0.65,126.933,37.4643,cctv
293,117,서울 관악구 신림동 305-37,0.67,126.9315,37.4647,cctv
294,118,서울 관악구 신림동 305-37,0.68,126.9315,37.4646,cctv
295,119,서울 관악구 신림동 1704-15,0.67,126.9314,37.4647,cctv
296,120,서울 관악구 신림동 305-70,0.51,126.9332,37.4656,cctv
297,121,서울 관악구 신림동 305-37,0.66,126.9315,37.4648,cctv
298,122,서울 관악구 신림동 808-471,0.43,126.9313,37.4715,cctv
299,123,서울 관악구 신림동 386-17,0.44,126.9312,37.4714,cctv
300,124,서울 관악구 신림동 1564-76,0.81,126.9397,37.4763,cctv
301,125,서울 관악구 신림동 1564-6,0.82,126.9398,37.4763,cctv
302,126,서울 관악구 신림동 1564-76,0.8,126.9397,37.4762,cctv
303,127,서울 관악구 신림동 1564-76,0.8,126.9396,37.4762,cctv
304,128,서울 관악구 신림동 1564-6,0.82,126.9397,37.4764,cctv
305,129,서울 관악구 신림동 94-95,0.74,126.9387,37.4759,cctv
306,130,서울 관악구 신림동 408-156,0.8,126.9355,37.4769,cctv
307,131,서울 관악구 신림동 94-10,0.75,126.9388,37.476,cctv
308,132,서울 관악구 신림동 94-72,0.74,126.9386,37.476,cctv
309,133,서울 관악구 신림동 94-10,0.76,126.9388,37.4761,cctv
310,134,서울 관악구 신림동 94-10,0.75,126.9389,37.476,cctv
311,135,서울 관악구 신림동 94-8,0.76,126.9391,37.476,cctv
312,136,서울 관악구 신림동 94-71,0.79,126.9378,37.4766,cctv
313,137,서울 관악구 신림동 94-49,0.79,126.9377,37.4766,cctv
314,138,서울 관악구 신림동 94-71,0.78,126.9378,37.4765,cctv
315,139,서울 관악구 신림동 94-71,0.8,126.9378,37.4767,cctv
316,140,서울 관악구 신림동 94-46,0.79,126.9379,37.4766,cctv
317,141,서울 관악구 신림동 98-51,0.77,126.9419,37.4746,cctv
318,142,서울 관악구 신림동 98-67,0.77,126.9418,37.4746,cctv
319,143,서울 관악구 신림동 98-151,0.77,126.9418,37.4747,cctv
320,144,서울 관악구 신림동 98-51,0.78,126.9419,37.4747,cctv
321,145,서울 관악구 신림동 98-57,0.78,126.942,37.4746,cctv
322,146,서울 관악구 신림동 409-2,0.91,126.9328,37.4776,cctv
323,147,서울 관악구 신림동 409-2,0.9,126.9328,37.4775,cctv
324,148,서울 관악구 신림동 409-2,0.89,126.9328,37.4774,cctv
325,149,서울 관악구 신림동 408-35,0.74,126.9346,37.4763,cctv
326,150,서울 관악구 신림동 409-2,0.94,126.9312,37.4774,cctv
327,151,서울 관악구 신림동 412-21,0.94,126.9311,37.4774,cctv
328,152,서울 관악구 신림동 409-181,0.94,126.9313,37.4774,cctv
329,153,서울 관악구 신림동 409-211,0.93,126.9312,37.4773,cctv
330,154,서울 관악구 신림동 412-376,0.83,126.9302,37.4758,cctv
331,155,서울 관악구 신림동 412-138,0.84,126.9301,37.4758,cctv
332,156,서울 관악구 신림동 412-458,0.84,126.93,37.4758,cctv
333,157,서울 관악구 신림동 산 160-71,0.95,126.9289,37.4764,cctv
334,158,서울 관악구 신림동 836-1,0.6,126.929,37.4689,cctv
335,159,서울 관악구 신림동 836-1,0.6,126.929,37.4688,cctv
336,160,서울 관악구 신림동 354-7,0.61,126.9288,37.469,cctv
337,161,서울 관악구 신림동 836-1,0.59,126.929,37.469,cctv
338,162,서울 관악구 신림동 110-5,0.3,126.9345,37.4723,cctv
339,163,서울 관악구 신림동 110-5,0.29,126.9344,37.4721,cctv
340,164,서울 관악구 신림동 110-5,0.29,126.9346,37.4722,cctv
341,165,서울 관악구 신림동 110-10,0.31,126.9343,37.4723,cctv
342,166,서울 관악구 신림동 92-291,0.99,126.9352,37.4786,cctv
343,167,서울 관악구 신림동 110-74,0.32,126.9344,37.4724,cctv
344,168,서울 관악구 신림동 251-127,0.65,126.9398,37.4649,cctv
345,169,서울 관악구 신림동 251-162,0.51,126.9384,37.4657,cctv
346,170,서울 관악구 신림동 251-127,0.66,126.9399,37.4648,cctv
347,171,서울 관악구 신림동 251-127,0.67,126.9398,37.4647,cctv
348,172,서울 관악구 신림동 251-218,0.67,126.9399,37.4647,cctv
349,173,서울 관악구 신림동 251-15,0.42,126.9387,37.4668,cctv
350,174,서울 관악구 신림동 251-15,0.41,126.9387,37.4669,cctv
351,175,서울 관악구 신림동 251-15,0.43,126.9387,37.4667,cctv
352,176,서울 관악구 신림동 251-339,0.43,126.9388,37.4668,cctv
353,177,서울 관악구 신림동 254-35,0.51,126.935,37.4652,cctv
354,178,서울 관악구 신림동 산 28-37,0.55,126.9383,37.4652,cctv
