,count,addr,dist,long,lat,type
0,1,서울특별시 관악구 신림로23 (관악산공원 주차장),0.86,126.9452017,37.46829727,bell
1,2,서울특별시 관악구 호암로22길 45 (태양공원),0.16,126.9365586,37.46844625,bell
2,3,서울특별시 관악구 쑥고개로3길 7 (장군봉소공원),0.98,126.9389661,37.47815974,bell
3,4.0,,0.62,126.9353063,37.46414404,bell
4,5,서울특별시 관악구 신림로3가길 2 (나들목공원#01),0.8,126.9447193,37.4694056,bell
5,6,서울특별시 관악구 신림로3가길 2 (나들목공원#02),0.76,126.9442291,37.46896435,bell
6,7.0,,0.42,126.9399623,37.46797618,bell
7,8,서울특별시 관악구 양산길 21-2 (양산어린이공원),0.52,126.9326583,37.47369949,bell
8,9,서울특별시 관악구 관악산나들길 4(화장실입구),0.89,126.945548,37.46802993,bell
9,10,서울특별시 관악구 관악산나들길 4(지하음식점입구),0.88,126.9454603,37.46832312,bell
10,11.0,,0.46,126.940353,37.46786242,bell
11,12,서울특별시 관악구 원신길260 (해바라기어린이공원),0.98,126.9303319,37.46195671,bell
12,13,서울특별시 관악구 쑥고개로2라길 25 (쑥고개어린이공원),0.82,126.9406859,37.47589054,bell
13,14,서울특별시 관악구 쑥고개로2라길 25 (쑥고개어린이공원),0.84,126.9410376,37.47599585,bell
14,15,서울특별시 관악구 신림로31가길 32 (신화어린이공원),0.81,126.9355708,37.47697373,bell
15,16,서울특별시 관악구 서림3길 47 (해태어린이공원),0.52,126.9404654,37.47250207,bell
16,17,서울특별시 관악구 서림3길 47 (해태어린이공원),0.55,126.940696,37.47268706,bell
17,18,서울특별시 관악구 광신길 154 (합실어린이공원),0.93,126.9268657,37.46508382,bell
18,19,서울특별시 관악구 광신길 154 (합실어린이공원),0.91,126.9272175,37.4650273,bell
19,20.0,,0.83,126.9443101,37.46685449,bell
20,21,서울특별시 관악구 대학길 129 (샘말공원#01),0.58,126.938472,37.46499971,bell
21,22,서울특별시 관악구 대학길 129 (샘말공원#02),0.61,126.9380981,37.46455265,bell
22,23,서울특별시 관악구 난곡로26길 135 (신림6배수지공원#01),0.83,126.9264493,37.46823737,bell
23,24,서울특별시 관악구 난곡로26길 135 (신림6배수지공원#02),0.88,126.9259133,37.46833633,bell
24,25.0,,0.88,126.9427937,37.47524952,bell
25,26.0,,0.63,126.942415,37.46791457,bell
26,27.0,,0.9,126.9275901,37.46473257,bell
27,28.0,,0.95,126.9275901,37.46405374,bell
28,29.0,,0.86,126.9259963,37.46939186,bell
29,30,서울특별시 관악구 서원3길 10 (서원어린이공원),0.79,126.9332997,37.47661507,bell
30,31,서울특별시 관악구 호암로16길 70,0.51,126.9331702,37.46556777,bell
31,32,서울특별시 관악구 호암로 528(농협하나로마트 부근),0.67,126.9315369,37.46469588,bell
32,33,서울특별시 관악구 양지길 28,0.44,126.9312522,37.47144923,bell
33,34,서울특별시 관악구 쑥고개로2다길 17,0.81,126.9396876,37.47627005,bell
34,35,서울특별시 관악구 남부순환로192길 17,0.8,126.9355224,37.4769122,bell
35,36,서울특별시 관악구 신림로36길 25,0.75,126.9387483,37.47598183,bell
36,37,서울특별시 관악구 신림로38길 6,0.78,126.9377913,37.47657627,bell
37,38,서울특별시 관악구 복은12길 13,0.77,126.9418547,37.47462974,bell
38,39,서울특별시 관악구 서원길 4,0.9,126.9328241,37.47749692,bell
39,40,서울특별시 관악구 서원5길 36,0.74,126.9346501,37.47632048,bell
40,41,서울특별시 관악구 문성로40길 24,0.94,126.9312079,37.47743135,bell
41,42,서울특별시 관악구 양산길 29,0.51,126.9319328,37.47322886,bell
42,43,서울특별시 관악구 호암로18가길 9,0.6,126.9323812,37.4649816,bell
43,44,서울특별시 관악구 문성로38다길 2,0.83,126.9300956,37.47576071,bell
44,45,서울특별시 관악구 난곡로26길99-15,0.96,126.9247846,37.46963916,bell
45,46,서울특별시 관악구 신림로44가길47,0.9,126.9367622,37.47780202,bell
46,47,서울특별시 관악구 신림로32길12,0.59,126.9373768,37.47485743,bell
47,48,서울특별시 관악구 서림6길35,0.36,126.9374811,37.47259693,bell
48,49,서울특별시 관악구 복은4길 63,0.34,126.9367627,37.47262239,bell
49,50,서울특별시 관악구 성림1길2,0.62,126.9309665,37.46560274,bell
50,51,서울특별시 관악구 양지10길14-2,0.61,126.9288564,37.47077046,bell
51,52,서울특별시 관악구 호암로22길32,0.14,126.9346107,37.46883258,bell
52,53,서울특별시 관악구 신림로11길97-27,0.56,126.9400399,37.46605637,bell
53,54,서울특별시 관악구 신림로97,0.3,126.9389064,37.47047056,bell
54,55,서울특별시 관악구 대학7가길15,0.31,126.9380883,37.46773242,bell
55,56,서울특별시 관악구 쑥고개로2라길 36,0.87,126.9413609,37.47612944,bell
56,57,서울특별시 관악구 호암로18길 11(돌샘행복마을),0.55,126.9323473,37.46552166,bell
57,58,서울특별시 관악구 신림로22길 23,0.28,126.9355812,37.4722574,bell
58,59,서울특별시 관악구 신림로44다길 26,0.96,126.9365065,37.47835485,bell
59,60,서울특별시 관악구 신림로 179,0.54,126.9351467,37.47451784,bell
60,61,서울특별시 관악구 동마길 9,0.75,126.9301386,37.46455314,bell
61,62,서울특별시 관악구 쑥고개로2가길 35,0.87,126.939913,37.47679293,bell
62,63,서울특별시 관악구 서림11가길 36,0.58,126.9419141,37.47123534,bell
63,64,서울특별시 관악구 방천길 27,0.5,126.9328141,37.47355374,bell
64,65,서울특별시 관악구 신림로 137,0.23,126.9340415,37.4713587,bell
65,66,서울특별시 관악구 서림길 127,0.47,126.9407689,37.47093024,bell
66,67,서울특별시 관악구 신림로31길 9-18,0.61,126.9349517,37.47517813,bell
67,68,서울특별시 관악구 대학18길 36,0.6,126.9367726,37.46437957,bell
68,69,서울특별시 관악구 신림로7가길 34,0.64,126.9428953,37.46973925,bell
69,70,서울특별시 관악구 호암로24길 6,0.17,126.9337549,37.46995441,bell
70,71,서울특별시 관악구 양지길 58,0.58,126.9291216,37.47041421,bell
71,72,서울특별시 관악구 원신길 149,0.62,126.9302078,37.46626893,bell
72,73,서울특별시 관악구 서림3길 23,0.55,126.9399173,37.47330476,bell
73,74,서울특별시 관악구 쑥고개로2길 47,0.73,126.9394283,37.47556172,bell
74,75,서울특별시 관악구 복은6길 37,0.61,126.9399905,37.47396367,bell
75,76,서울특별시 관악구 양산길 7(하늘유치원 부근),0.57,126.9329671,37.47436088,bell
76,77,서울특별시 관악구 호암로 545(미림어린이집 부근),0.55,126.9312805,37.46627172,bell
77,78,서울특별시 관악구 문성로38라길 14,0.86,126.9292398,37.47549427,bell
78,79,서울특별시 관악구 대학7길 35,0.38,126.939634,37.46846593,bell
79,80,서울특별시 관악구 밤골길 6,0.92,126.9317806,37.46202243,bell
80,81,서울특별시 관악구 광신길 154,0.96,126.9267517,37.46485744,bell
81,82,서울특별시 관악구 난곡로26길 113,0.96,126.9249654,37.46838092,bell
82,83,서울특별시 관악구 복은6길 46,0.61,126.9404569,37.47370342,bell
