,count,addr,dist,long,lat,type
0,1,서울특별시 관악구 봉천로33가길 19-10 (한뼘동래공원),0.41,126.9448623,37.48472219,bell
1,2.0,,0.8,126.9493561,37.47472773,bell
2,3.0,,0.76,126.9482464,37.47469864,bell
3,4.0,,0.86,126.9515644,37.47521741,bell
4,5.0,,0.82,126.9510767,37.47535786,bell
5,6,서울특별시 관악구 쑥고개로3길 7 (장군봉소공원),0.64,126.9389661,37.47815974,bell
6,7.0,,0.49,126.9438504,37.47678062,bell
7,8,서울특별시 관악구 남부순환로194길 81-12 (장군봉근린공원배드민턴장1),0.93,126.9346588,37.48135937,bell
8,9,서울특별시 관악구 장군봉길 92-40(장군봉근린공원북쪽등산로입구),0.75,126.9366716,37.48147121,bell
9,10,서울특별시 관악구 장군봉5길 28(충효어린이공원),0.34,126.9413438,37.48116875,bell
10,11,서울특별시 관악구 장군봉길 93(장군봉근린공원입구),0.59,126.9390237,37.47893843,bell
11,12,서울특별시 관악구 남부순환로216길 19(송학어린이공원#2),0.37,126.9492618,37.48018588,bell
12,13,"서울특별시 관악구 장군봉길 72(장군봉근린공원, 봉임중학교후문)",0.63,126.9381183,37.48161001,bell
13,14,서울특별시 관악구 장군봉길 92-40(장군봉근린공원),0.7,126.9375368,37.47959612,bell
14,15,서울특별시 관악구 봉천로27길 20 (선봉어린이공원),0.67,126.9395461,37.48509822,bell
15,16,서울특별시 관악구 쑥고개로2라길 25 (쑥고개어린이공원),0.7,126.9406859,37.47589054,bell
16,17,서울특별시 관악구 쑥고개로2라길 25 (쑥고개어린이공원),0.67,126.9410376,37.47599585,bell
17,18,서울특별시 관악구 관악로6길 50 (백설어린이공원),0.94,126.9535853,37.47587787,bell
18,19,서울특별시 관악구 관악로6길 50 (백설어린이공원),0.93,126.9537496,37.47614016,bell
19,20,서울특별시 관악구 신림로31가길 32 (신화어린이공원),0.96,126.9355708,37.47697373,bell
20,21,서울특별시 관악구 남부순환로200다길 23 (봉림어린이공원),0.86,126.93563,37.48272379,bell
21,22,서울특별시 관악구 양녕로6다길 11-4 (새싹공원),0.55,126.9497668,37.48438305,bell
22,23,서울특별시 관악구 양녕로6다길 11-4 (새싹공원),0.55,126.949539,37.48457844,bell
23,24,서울특별시 관악구 봉천로41길 35 (중앙공원#01),0.47,126.9484749,37.48438674,bell
24,25,서울특별시 관악구 봉천로41길 35 (중앙공원#02),0.45,126.9481866,37.48430156,bell
25,26.0,,0.72,126.9372032,37.47969721,bell
26,27.0,,0.79,126.9363697,37.4798336,bell
27,28.0,,0.74,126.9368633,37.48048489,bell
28,29.0,,0.84,126.9356599,37.4807547,bell
29,30.0,,0.72,126.9509435,37.47649685,bell
30,31.0,,0.68,126.9427937,37.47524952,bell
31,32,서울특별시 관악구 청룡12길 17-4 (청룡공원),0.37,126.9447741,37.47777622,bell
32,33,서울특별시 관악구 관악로15길 21 (송학어린이공원),0.35,126.9491287,37.48046347,bell
